pageid,tags,timestamp,userid,revid,content,user,parentid,minor,size
47512,[],2010-05-21T01:20:58Z,117661,363307981,,Wcalvin,363296369,,35780
47512,[],2010-05-20T23:58:44Z,117661,363296369,,Wcalvin,361049563,,34157
47512,[],2010-05-09T08:25:25Z,5485186,361049563,,Awickert,360280035,,34111
47512,[],2010-05-05T12:54:08Z,539176,360280035,,RDBrown,360278287,,34109
47512,[],2010-05-05T12:42:06Z,7903804,360278287,,Citation bot,360277978,,34040
47512,[],2010-05-05T12:40:06Z,539176,360277978,,RDBrown,359838545,,34189
47512,[],2010-05-03T13:06:14Z,937705,359838545,,Iridescent,358973014,,33554
47512,[],2010-04-29T02:13:01Z,12096497,358973014,,Thepisky,358792508,,33554
47512,[],2010-04-28T05:12:16Z,12177768,358792508,,Stovl,357585585,,33648
47512,[],2010-04-22T08:39:12Z,9593990,357585585,,PrBeacon,353453990,,33730
47512,[],2010-04-02T00:26:29Z,7710634,353453990,,Short Brigade Harvester Boris,353374647,,33704
47512,[],2010-04-01T16:22:11Z,1720909,353374647,,Mikenorton,353374232,,33583
47512,[],2010-04-01T16:19:30Z,11826500,353374232,,KampferXeon,353233510,,33593
47512,[],2010-03-31T22:02:45Z,374195,353233510,,Arthur Rubin,353214747,,33583
47512,[],2010-03-31T20:15:32Z,1461656,353214747,,Id447,352878712,,33784
47512,[],2010-03-30T03:03:22Z,7710634,352878712,,Short Brigade Harvester Boris,352653769,,33583
47512,[],2010-03-29T01:31:40Z,7710634,352653769,,Short Brigade Harvester Boris,352653104,,32670
47512,[],2010-03-29T01:27:18Z,7710634,352653104,,Short Brigade Harvester Boris,352652656,,33397
47512,[],2010-03-29T01:24:48Z,7710634,352652656,,Short Brigade Harvester Boris,352651730,,33457
47512,[],2010-03-29T01:19:14Z,7710634,352651730,,Short Brigade Harvester Boris,352651545,,33442
47512,[],2010-03-29T01:18:16Z,7710634,352651545,,Short Brigade Harvester Boris,352650969,,34040
47512,[],2010-03-29T01:15:00Z,7710634,352650969,,Short Brigade Harvester Boris,352650307,,34017
47512,[],2010-03-29T01:11:10Z,271168,352650307,,Wavelength,350712931,,34384
47512,[],2010-03-19T01:57:05Z,739301,350712931,,The seraphim,349574882,,34384
47512,[],2010-03-13T07:56:13Z,5485465,349574882,,Stepshep,349574764,,34330
47512,[],2010-03-13T07:54:58Z,5485465,349574764,,Stepshep,348338077,,34315
47512,[],2010-03-07T15:09:25Z,4937604,348338077,,Ethridgela,345879605,,34326
47512,[],2010-02-23T14:42:48Z,5517882,345879605,,Kjramesh,345709641,,34327
47512,[],2010-02-22T18:53:47Z,8453292,345709641,,GrouchoBot,343206309,,34256
47512,[],2010-02-10T19:45:56Z,3171782,343206309,,TXiKiBoT,340299253,,34254
47512,[],2010-01-27T08:18:41Z,7524402,340299253,,Angusparker,340299111,,34228
47512,[],2010-01-27T08:16:49Z,7524402,340299111,,Angusparker,340130368,,34301
47512,[],2010-01-26T13:42:40Z,8072,340130368,,William M. Connolley,340125216,,34105
47512,[],2010-01-26T12:56:56Z,11053592,340125216,,Valentin Zahrnt,339809815,,34200
47512,[],2010-01-24T22:51:38Z,5485186,339809815,,Awickert,339744497,,34105
47512,[],2010-01-24T16:27:07Z,10339688,339744497,,Gaia5074Q,338014038,,34079
47512,[],2010-01-15T16:06:01Z,4928500,338014038,,ClueBot,338014023,,33995
47512,[],2010-01-15T16:05:55Z,6898964,338014023,,Jamesb1995,336799086,,8
47512,[],2010-01-09T14:05:43Z,372693,336799086,,Closedmouth,336757739,,33995
47512,[],2010-01-09T07:13:00Z,11356281,336757739,,KurtLC,336099621,,34004
47512,[],2010-01-05T23:50:00Z,8574593,336099621,,RibotBOT,336085641,,33993
47512,[],2010-01-05T22:32:35Z,8072,336085641,,William M. Connolley,336020725,,34001
47512,[],2010-01-05T16:30:23Z,4242264,336020725,,Dierkp,335655516,,34141
47512,[],2010-01-03T17:06:12Z,1483799,335655516,,Itsmejudith,335454213,,34001
47512,[],2010-01-02T13:35:09Z,141948,335454213,,Amorymeltzer,335380884,,33999
47512,[],2010-01-02T01:42:56Z,9199520,335380884,,Mbcannell,335380622,,33998
47512,[],2010-01-02T01:41:03Z,9199520,335380622,,Mbcannell,335347761,,33990
47512,[],2010-01-01T22:04:20Z,1920826,335347761,,Father Goose,335052902,,33948
47512,[],2009-12-31T05:31:24Z,141662,335052902,,Tony Sidaway,335052865,,33579
47512,[],2009-12-31T05:31:04Z,5680048,335052865,,AcePilot101,335052743,,37040
47512,[],2009-12-31T05:30:10Z,5680048,335052743,,AcePilot101,335052606,,38155
47512,[],2009-12-31T05:29:03Z,5680048,335052606,,AcePilot101,335052539,,38731
47512,[],2009-12-31T05:28:28Z,5680048,335052539,,AcePilot101,333390188,,39184
47512,[],2009-12-22T23:09:20Z,259798,333390188,,Chobot,333335440,,33579
47512,[],2009-12-22T19:22:17Z,5485186,333335440,,Awickert,333330075,,33579
47512,[],2009-12-22T19:01:04Z,5730335,333330075,,Amanuse,333329745,,33434
47512,[],2009-12-22T18:59:49Z,6204546,333329745,,Atmoz,333329456,,33579
47512,[],2009-12-22T18:58:45Z,5730335,333329456,,Amanuse,333328644,,33434
47512,[],2009-12-22T18:55:23Z,5485186,333328644,,Awickert,333327652,,33579
47512,[],2009-12-22T18:51:12Z,5730335,333327652,,Amanuse,333157550,,33434
47512,[],2009-12-22T00:32:23Z,4807131,333157550,,Fangjian,333047321,,33579
47512,[],2009-12-21T12:26:58Z,1720909,333047321,,Mikenorton,333033726,,33559
47512,[],2009-12-21T11:11:07Z,8072,333033726,,William M. Connolley,333013918,,33558
47512,[],2009-12-21T08:29:00Z,10593688,333013918,,Flegelpuss,333013410,,33678
47512,[],2009-12-21T08:23:44Z,10593688,333013410,,Flegelpuss,333013151,,33647
47512,[],2009-12-21T08:20:28Z,10593688,333013151,,Flegelpuss,333012874,,33594
47512,[],2009-12-21T08:17:26Z,10593688,333012874,,Flegelpuss,332063831,,33594
47512,[],2009-12-16T16:14:50Z,11204794,332063831,,Wrenelhai,332000470,,33565
47512,[],2009-12-16T09:48:09Z,10286712,332000470,,TobeBot,331700254,,33561
47512,[],2009-12-14T23:00:27Z,8072,331700254,,William M. Connolley,331698658,,33529
47512,[],2009-12-14T22:50:18Z,8072,331698658,,William M. Connolley,331697586,,33583
47512,[],2009-12-14T22:44:01Z,8072,331697586,,William M. Connolley,331387513,,33596
47512,[],2009-12-13T06:08:26Z,2740078,331387513,,Flatterworld,331386660,,33519
47512,[],2009-12-13T06:02:02Z,2740078,331386660,,Flatterworld,331376607,,33416
47512,[],2009-12-13T04:34:41Z,7382873,331376607,,Poshi,331342121,,33420
47512,[],2009-12-13T00:17:02Z,10204584,331342121,,Sgsg,331176929,,33416
47512,[],2009-12-12T00:00:13Z,3082175,331176929,,JohnBlackburne,330923305,,33396
47512,[],2009-12-10T20:01:39Z,6013540,330923305,,SDY,330919058,,34210
47512,[],2009-12-10T19:36:59Z,8072,330919058,,William M. Connolley,330916592,,34032
47512,[],2009-12-10T19:23:03Z,5932223,330916592,,1ForTheMoney,330915861,,34608
47512,[],2009-12-10T19:19:03Z,6013540,330915861,,SDY,330915791,,34589
47512,[],2009-12-10T19:18:40Z,6013540,330915791,,SDY,330915686,,34588
47512,[],2009-12-10T19:18:13Z,6013540,330915686,,SDY,330890215,,34583
47512,[],2009-12-10T16:44:45Z,6013540,330890215,,SDY,330857686,,33410
47512,[],2009-12-10T12:25:51Z,8072,330857686,,William M. Connolley,330856786,,33396
47512,[],2009-12-10T12:17:20Z,3082175,330856786,,JohnBlackburne,330835725,,33549
47512,[],2009-12-10T09:08:39Z,3567997,330835725,,Gavin.collins,330719460,,33528
47512,[],2009-12-09T20:04:43Z,6592126,330719460,,Stevenrl,330213974,,33396
47512,[],2009-12-07T08:58:38Z,5678063,330213974,,Tau666666,330132718,,33229
47512,[],2009-12-06T22:29:54Z,2740078,330132718,,Flatterworld,330131990,,33230
47512,[],2009-12-06T22:25:17Z,2740078,330131990,,Flatterworld,330021254,,33242
47512,[],2009-12-06T07:04:01Z,7903804,330021254,,Citation bot,329683281,,33009
47512,[],2009-12-04T16:10:10Z,82835,329683281,,Rich Farmbrough,329660175,,32948
47512,[],2009-12-04T13:32:23Z,203434,329660175,,Rjwilmsi,329048196,,32955
47512,[],2009-12-01T15:43:39Z,921400,329048196,,Hu12,329039442,,32903
47512,[],2009-12-01T14:51:46Z,3149394,329039442,,Elsiefgb,329039145,,33260
47512,[],2009-12-01T14:49:51Z,3149394,329039145,,Elsiefgb,329035351,,33264
47512,[],2009-12-01T14:23:31Z,3149394,329035351,,Elsiefgb,328974676,,33150
47512,[],2009-12-01T05:34:09Z,5543430,328974676,,Bruceanthro,328974551,,32903
47512,[],2009-12-01T05:33:05Z,5543430,328974551,,Bruceanthro,328974362,,32911
47512,[],2009-12-01T05:31:21Z,5543430,328974362,,Bruceanthro,327645412,,32919
47512,[],2009-11-24T11:00:24Z,8066546,327645412,,Xqbot,327568053,,32768
47512,[],2009-11-24T00:02:07Z,8072,327568053,,William M. Connolley,327566979,,32742
47512,[],2009-11-23T23:55:32Z,8811597,327566979,,Politicslvr,326463446,,32963
47512,[],2009-11-18T02:40:15Z,7027483,326463446,,Gregfreemyer,326462972,,32742
47512,[],2009-11-18T02:36:51Z,7027483,326462972,,Gregfreemyer,325352108,,32756
47512,[],2009-11-12T00:56:18Z,10629685,325352108,,Maashatra,325201847,,32538
47512,[],2009-11-11T06:49:50Z,5485186,325201847,,Awickert,325200307,,32509
47512,[],2009-11-11T06:35:04Z,10402643,325200307,,Coolbill14,325198460,,32511
47512,[],2009-11-11T06:20:38Z,5485186,325198460,,Awickert,325197601,,32509
47512,[],2009-11-11T06:13:44Z,10402643,325197601,,Coolbill14,325196780,,32529
47512,[],2009-11-11T06:06:13Z,10402643,325196780,,Coolbill14,325196617,,32517
47512,[],2009-11-11T06:04:35Z,10402643,325196617,,Coolbill14,325040525,,32511
47512,[],2009-11-10T13:24:29Z,7231943,325040525,,Luckyz,323392294,,32509
47512,[],2009-11-02T01:48:02Z,288184,323392294,,Splette,323392090,,32489
47512,[],2009-11-02T01:46:49Z,555607,323392090,,Gardner monk,323391898,,32772
47512,[],2009-11-02T01:45:30Z,555607,323391898,,Gardner monk,321924152,,32773
47512,[],2009-10-25T11:58:22Z,7903804,321924152,,Citation bot,321923872,,32489
47512,[],2009-10-25T11:55:27Z,539176,321923872,,RDBrown,321900942,,32433
47512,[],2009-10-25T07:26:36Z,7661631,321900942,,Rubinbot,321163384,,31878
47512,[],2009-10-21T09:28:35Z,28522,321163384,,Stephan Schulz,320934022,,31880
47512,[],2009-10-20T03:01:01Z,5403765,320934022,,PMDrive1061,320930342,,31912
47512,[],2009-10-20T02:36:33Z,10702844,320930342,,Rosalieroxx,320756634,,31945
47512,[],2009-10-19T07:33:47Z,5485186,320756634,,Awickert,318762941,,31912
47512,[],2009-10-08T23:55:48Z,7903804,318762941,,Citation bot,318762431,,31841
47512,[],2009-10-08T23:52:57Z,5485186,318762431,,Awickert,318761402,,30829
47512,[],2009-10-08T23:47:32Z,5485186,318761402,,Awickert,318000706,,30791
47512,[],2009-10-05T07:30:35Z,6338983,318000706,,WikHead,317900450,,30389
47512,[],2009-10-04T20:13:58Z,8072,317900450,,William M. Connolley,317350253,,30392
47512,[],2009-10-01T20:58:06Z,6204546,317350253,,Atmoz,317349572,,30872
47512,[],2009-10-01T20:54:21Z,6204546,317349572,,Atmoz,317348536,,30873
47512,[],2009-10-01T20:48:46Z,5485186,317348536,,Awickert,317346827,,30872
47512,[],2009-10-01T20:39:24Z,5485186,317346827,,Awickert,316488911,,30908
47512,[],2009-09-27T13:49:34Z,82835,316488911,,Rich Farmbrough,316195566,,30914
47512,[],2009-09-25T21:14:01Z,8072,316195566,,William M. Connolley,316186249,,30922
47512,[],2009-09-25T20:14:23Z,5485186,316186249,,Awickert,316163706,,30468
47512,[],2009-09-25T17:57:30Z,8072,316163706,,William M. Connolley,316160190,,30456
47512,[],2009-09-25T17:36:21Z,5485186,316160190,,Awickert,316090712,,30348
47512,[],2009-09-25T09:07:47Z,5485186,316090712,,Awickert,315999107,,30281
47512,[],2009-09-24T21:30:40Z,8072,315999107,,William M. Connolley,315997817,,30262
47512,[],2009-09-24T21:23:47Z,8072,315997817,,William M. Connolley,315997514,,30441
47512,[],2009-09-24T21:22:15Z,8072,315997514,,William M. Connolley,315997000,,30441
47512,[],2009-09-24T21:19:37Z,8072,315997000,,William M. Connolley,315996478,,30443
47512,[],2009-09-24T21:16:56Z,8072,315996478,,William M. Connolley,315994547,,30375
47512,[],2009-09-24T21:07:39Z,8072,315994547,,William M. Connolley,315650785,,30462
47512,[],2009-09-23T04:44:59Z,6204546,315650785,,Atmoz,315642548,,30421
